text,aspects,polarities
Ontbijtbuffet was tip top in orde.,FOOD,positive
Niet goedkoop!,RESTAURANT,negative
Maar eens in het kasteelrestaurant aangekomen werd het een feest.,RESTAURANT,positive
"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt.",SERVICE,positive
"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie.",SERVICE,positive
Goedkoop is het niet maar wel uitzonderlijk lekker.,FOOD,positive
"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",FOOD,positive
De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,DRINKS,positive
Het was lang geleden dat we zo lekker geëten hebben.,FOOD,positive
Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.,FOOD,positive
Het is een fantastische gelegenheid.,RESTAURANT,positive
Op het landgoed Altembrouck werkt men met verse eerlijke producten.,FOOD,positive
Er is geen menukaart.,FOOD,negative
Nadeel is dat er geen menukaart is zelfs geen dagelijkse.,FOOD,negative
Het personeel is zeer vriendelijk en correct zonder stijf te zijn.,SERVICE,positive
"Verder is, en zeer flexibel 3 pers wilde graag (met bijbetaling) gaan voor het voorgerecht van het paasmenu.",SERVICE,positive
Voor rest niets als lof.,RESTAURANT,positive
Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,FOOD,positive
Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,AMBIENCE,positive
Ik kan dit alleen maar aanraden.,RESTAURANT,positive
"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",SERVICE,positive
"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",FOOD,negative
De ober was juist ontslagen dacht ik.,SERVICE,negative
Blijkbaar werkt hij er nog.sympathieker is hij er zeker niet op geworden.,SERVICE,negative
Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.,SERVICE,negative
Zo lang die ober daar blijft werken mij niet meer gezien.,SERVICE,negative
Wat een vreselijke ervaring.,RESTAURANT,negative
De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.,SERVICE,negative
"Toen we zegden: ja, als het te moeilijk is om ons te bedienen, we konden onze zin niet afmaken maar werden toegeschreeuwd door de oor de ober die zich dan omdraaide en weg ging.",SERVICE,negative
"Als deze zaak het hoofd niet boven water kan houden, ligt het niet aan de crisis!",RESTAURANT,negative
"Eigenaar, leer uw personeel manieren.",SERVICE,negative
Kort gezegd: je zal nooit teleurgesteld zijn maar je zal eveneens nooit in de 'wolken' zijn.,RESTAURANT,neutral
"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning.",SERVICE,neutral
"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",FOOD,neutral
"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur.....",DRINKS,positive
