text,aspects,polarities
Nos sentimos muy a gusto.,['RESTAURANT'],['positive']
"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.","['FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive']"
Muy recomendable,['RESTAURANT'],['positive']
"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",['SERVICE'],['positive']
"Y la comida espectacular, por eso lo bueno se paga...",['FOOD'],['positive']
"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.","['RESTAURANT', 'FOOD']","['negative', 'positive']"
Nada especial.,['RESTAURANT'],['neutral']
"Me habían comentado maravillas y está bien, pero nada más.",['RESTAURANT'],['neutral']
"Las carnes bien, pero como muchas otras.",['FOOD'],['neutral']
"El precio, por lo que es la comida, para mi gusto es elevado.",['FOOD'],['negative']
"la calidad del producto, el servicio, el entorno todo fue excelente","['SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive']"
9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.,['RESTAURANT'],['positive']
El servicio es muy bueno y la calidad de la comida al mismo nivel.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.,"['RESTAURANT', 'FOOD']","['positive', 'positive']"
Volveremos.,['RESTAURANT'],['positive']
"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.","['RESTAURANT', 'AMBIENCE', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive', 'positive']"
Mis amigos quedaron encantados y nosotros tambien.,['RESTAURANT'],['positive']
Vale la pena ir y probar sus carnes.,"['RESTAURANT', 'FOOD']","['positive', 'positive']"
"El restaurante es precioso, moderno y acogedor.",['AMBIENCE'],['positive']
La comida está deliciosa y es de calidad.,['FOOD'],['positive']
El servicio muy atento.,['SERVICE'],['positive']
Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,['RESTAURANT'],['positive']
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,"['DRINKS', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
Sin duda repetiremos.,['RESTAURANT'],['positive']
