text,aspects,polarities
"Judging from previous posts this used to be a good place, but not any longer.",['RESTAURANT'],['negative']
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",['SERVICE'],['negative']
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",['SERVICE'],['negative']
The food was lousy - too sweet or too salty and the portions tiny.,['FOOD'],['negative']
"After all that, they complained to me about the small tip.",['SERVICE'],['negative']
Avoid this place!,['RESTAURANT'],['negative']
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",['FOOD'],['positive']
Saul is the best restaurant on Smith Street and in Brooklyn.,['RESTAURANT'],['positive']
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,['FOOD'],['positive']
The wine list is interesting and has many good values.,['DRINKS'],['positive']
"For the price, you cannot eat this well in Manhattan.","['RESTAURANT', 'FOOD']","['positive', 'positive']"
I was very disappointed with this restaurant.,['RESTAURANT'],['negative']
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,['SERVICE'],['negative']
I had to ask her three times before she finally came back with the dish Ive requested.,['SERVICE'],['negative']
"Food was okay, nothing great.",['FOOD'],['neutral']
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"['RESTAURANT', 'FOOD']","['negative', 'negative']"
I/we will never go back to this place again.,['RESTAURANT'],['negative']
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",['RESTAURANT'],['positive']
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
You can't go wrong here.,['RESTAURANT'],['positive']
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,['RESTAURANT'],['positive']
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","['SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive']"
I had the duck breast special on my last visit and it was incredible.,['FOOD'],['positive']
Can't wait wait for my next visit.,['RESTAURANT'],['positive']
And I hate to say this but I doubt I'll ever go back. ,['RESTAURANT'],['negative']
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",['FOOD'],['negative']
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,['FOOD'],['positive']
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,['FOOD'],['positive']
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",['AMBIENCE'],['negative']
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","['DRINKS', 'SERVICE']","['positive', 'positive']"
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",['FOOD'],['positive']
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,['SERVICE'],['positive']
we love th pink pony.,['RESTAURANT'],['positive']
THe perfect spot.,['RESTAURANT'],['positive']
Food-awesome.,['FOOD'],['positive']
Service- friendly and attentive.,['SERVICE'],['positive']
Ambiance- relaxed and stylish.,['AMBIENCE'],['positive']
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",['RESTAURANT'],['positive']
the food is decent.,['FOOD'],['neutral']
"however, it's the service that leaves a bad taste in my mouth.",['SERVICE'],['negative']
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",['SERVICE'],['negative']
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",['SERVICE'],['negative']
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",['RESTAURANT'],['negative']
the last time i walked by it looked pretty empty. hmmm.,['RESTAURANT'],['negative']
This place has got to be the best japanese restaurant in the new york area.,['RESTAURANT'],['positive']
I had a great experience.,['RESTAURANT'],['positive']
Food is great.,['FOOD'],['positive']
Service is top notch.,['SERVICE'],['positive']
I have been going back again and again.,['RESTAURANT'],['positive']
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",['FOOD'],['positive']
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",['FOOD'],['positive']
The sushi seemed pretty fresh and was adequately proportioned.,['FOOD'],['positive']
The rice to fish ration was also good--they didn't try to overpack the rice.,['FOOD'],['positive']
We took advanatage of the half price sushi deal on saturday so it was well worth it.,['FOOD'],['positive']
Surprisingly nothing could be further from the truth.,['RESTAURANT'],['positive']
"In the evening, this place attracted a well dressed, with it, NY crowd.",['RESTAURANT'],['positive']
The food was well prepared and the service impecable.,"['SERVICE', 'FOOD']","['positive', 'positive']"
I'm going back.,['RESTAURANT'],['positive']
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,['AMBIENCE'],['positive']
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,['FOOD'],['positive']
I will be going back and heartily recommend it!,['RESTAURANT'],['positive']
"It is terrific, as is the value.",['FOOD'],['positive']
"$6 and there is much tasty food, all of it fresh and continually refilled.",['FOOD'],['positive']
"I am not a vegetarian but, almost all the dishes were great.",['FOOD'],['positive']
Go hungry and enjoy.,['RESTAURANT'],['positive']
"The food here is rather good, but only if you like to wait for it.","['SERVICE', 'FOOD']","['positive', 'negative']"
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",['FOOD'],['positive']
"The service varys from day to day- sometimes they're very nice, and sometimes not.",['SERVICE'],['negative']
"The kitchen however, is almost always slow.",['SERVICE'],['negative']
"Also, specify if you like your food spicy- its rather bland if you don't.",['FOOD'],['negative']
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","['RESTAURANT', 'AMBIENCE']","['positive', 'positive']"
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,['LOCATION'],['positive']
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"['SERVICE', 'FOOD']","['positive', 'positive']"
The lava cake dessert was incredible and I recommend it.,['FOOD'],['positive']
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",['AMBIENCE'],['positive']
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",['AMBIENCE'],['positive']
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",['FOOD'],['positive']
"However, go for the ambience, and consider the food just a companion for a trip across the world!","['FOOD', 'AMBIENCE']","['positive', 'neutral']"
IT WAS HORRIBLE.,['RESTAURANT'],['negative']
The pizza was delivered cold and the cheese wasn't even fully melted!,['FOOD'],['negative']
It looked like shredded cheese partly done - still in strips.,['FOOD'],['negative']
This has got to be one of the most overrated restaurants in Brooklyn.,['RESTAURANT'],['negative']
The pizza is overpriced and soggy.,['FOOD'],['negative']
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",['FOOD'],['positive']
"A big disappointment, all around.",['RESTAURANT'],['negative']
I think I've had some the best meals of my life at minnow.,['FOOD'],['positive']
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","['DRINKS', 'FOOD']","['positive', 'positive']"
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,['FOOD'],['positive']
Worth the trip from Manhattan.,['RESTAURANT'],['positive']
Best Pastrami I ever had and great portion without being ridiculous.,['FOOD'],['positive']
My wife had the fried shrimp which are huge and loved it.,['FOOD'],['positive']
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",['RESTAURANT'],['positive']
This place is the most Japanese it can ever get.,['RESTAURANT'],['positive']
