text,aspects,polarities
Nos sentimos muy a gusto.,RESTAURANT,positive
"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",SERVICE,positive
"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",AMBIENCE,positive
Muy recomendable,RESTAURANT,positive
Muy recomendable,RESTAURANT,positive
Muy recomendable,RESTAURANT,positive
Muy recomendable,RESTAURANT,positive
"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",SERVICE,positive
"Y la comida espectacular, por eso lo bueno se paga...",FOOD,positive
"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.",FOOD,positive
Nada especial.,RESTAURANT,neutral
"Las carnes bien, pero como muchas otras.",FOOD,neutral
"El precio, por lo que es la comida, para mi gusto es elevado.",FOOD,negative
"la calidad del producto, el servicio, el entorno todo fue excelente",SERVICE,positive
"la calidad del producto, el servicio, el entorno todo fue excelente",FOOD,positive
9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.,RESTAURANT,positive
El servicio es muy bueno y la calidad de la comida al mismo nivel.,SERVICE,positive
El servicio es muy bueno y la calidad de la comida al mismo nivel.,FOOD,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
Volveremos.,RESTAURANT,positive
"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",FOOD,positive
Vale la pena ir y probar sus carnes.,RESTAURANT,positive
Vale la pena ir y probar sus carnes.,FOOD,positive
"El restaurante es precioso, moderno y acogedor.",AMBIENCE,positive
La comida está deliciosa y es de calidad.,FOOD,positive
El servicio muy atento.,SERVICE,positive
Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,RESTAURANT,positive
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,SERVICE,positive
La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,FOOD,positive
Sin duda repetiremos.,RESTAURANT,positive
Sin duda repetiremos.,RESTAURANT,positive
Sin duda repetiremos.,RESTAURANT,positive
Sin duda repetiremos.,RESTAURANT,positive
restaurante excelente con carne de alta calidad.,FOOD,positive
Nos encanto!,RESTAURANT,positive
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",SERVICE,positive
"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",FOOD,positive
el sitio es muy bonito la comida estupenda y el trato inmejorable.,FOOD,positive
el sitio es muy bonito la comida estupenda y el trato inmejorable.,AMBIENCE,positive
totalmente recomendable,RESTAURANT,positive
"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.",SERVICE,positive
"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.",AMBIENCE,positive
El dulce de leche es divino.,FOOD,positive
Primera visita a este Restaurante con resultado satisfactorio.,RESTAURANT,positive
"Calidad, profesionalidad y precio acorde con la oferta.",SERVICE,positive
Casi como en Argentina.,RESTAURANT,positive
Fantastico!!!,RESTAURANT,positive
Delicioso!!!,RESTAURANT,positive
resaturante fantástico con excelente comida y servicio aun mejor!!!!,SERVICE,positive
