text,aspects,polarities
"The food was very good, a great deal, and the place its self was great.",AMBIENCE,positive
Terrible would be a compliment!,RESTAURANT,negative
The place is a lot of fun.,AMBIENCE,positive
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",RESTAURANT,positive
The service was friendly and the atmosphere was casual.,SERVICE,positive
please don't fool us.,RESTAURANT,negative
not sure why this restaurant would be rated that highly.,RESTAURANT,negative
"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",LOCATION,positive
This place has great indian chinese food.,FOOD,positive
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".",RESTAURANT,neutral
Pizza was a little soggy.,FOOD,negative
Can't wait to go back.,RESTAURANT,positive
I will go back to Suan soon!,RESTAURANT,positive
The wine list is also really nice.,DRINKS,positive
Great bagels made the old-fashioned way.,FOOD,positive
This place...god where do i begin.,RESTAURANT,negative
Quick and friendly service.,SERVICE,positive
"My father had the flank steak which was very good, and my mother had the swordfish.",FOOD,positive
"Bagels are ok, but be sure not to make any special requests!",SERVICE,neutral
The sake’s complimented the courses very well and is successfully easing me into the sake world.,DRINKS,positive
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",FOOD,positive
It's simply the best meal in NYC.,FOOD,positive
The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.,SERVICE,negative
"However, our $14 drinks were were horrible!",DRINKS,negative
"Both times I was extremely dissappointed by the service, which was boarderline rude.",SERVICE,negative
it's delicious!,FOOD,positive
"Going to Bark is always worth the train ride, and will make your tongue and belly very happy!",RESTAURANT,positive
Great Atmosphere,AMBIENCE,positive
The service was the only thing good about this restaurant.,RESTAURANT,positive
First went here to enjoy their garden terrace.,AMBIENCE,positive
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,AMBIENCE,positive
The only thing more wonderful than the food (which is exceptional) is the service.,SERVICE,positive
The veal was incredible last night.,FOOD,positive
I would highly recommend this place!,RESTAURANT,positive
"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",RESTAURANT,positive
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",SERVICE,positive
"Inside is a little cramped, but to be expected.",AMBIENCE,neutral
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",SERVICE,negative
We all felt it was worth it.,RESTAURANT,positive
I have never been so disgusted by both food an service.,SERVICE,negative
"I am not a vegetarian but, almost all the dishes were great.",FOOD,positive
"La Rosa waltzes in, and I think they are doing it the best.",FOOD,positive
The design of the space is good.,AMBIENCE,positive
"The vibe is very relaxed and cozy, service was great and the food was excellent!",FOOD,positive
The decor is very simple but comfortable.,AMBIENCE,positive
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",FOOD,positive
The farro salad and the mashed yukon potatoes were also extremely tasty.,FOOD,positive
We had a very nice time.,RESTAURANT,positive
They wouldnt even let me finish my glass of wine before offering another.,SERVICE,negative
It's to die for!,FOOD,positive
Try the lobster teriyaki and the rose special roll.,FOOD,positive
I absolutely Loved this place.,RESTAURANT,positive
Although we were looking for regular lettuce and some walnuts the salads we got were great.,FOOD,positive
