text,aspects,polarities
Lange wachttijd.,['SERVICE'],['negative']
"Zelfde dessert, 2 dagen na mekaar.",['FOOD'],['negative']
Ontbijtbuffet was tip top in orde.,['FOOD'],['positive']
Niet goedkoop!,['RESTAURANT'],['negative']
Maar eens in het kasteelrestaurant aangekomen werd het een feest.,['RESTAURANT'],['positive']
"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt.",['SERVICE'],['positive']
"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie.",['SERVICE'],['positive']
Je hebt de keuze tussen een beperkt aantal menus.,['FOOD'],['negative']
Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.,"['SERVICE', 'FOOD']","['positive', 'positive']"
Goedkoop is het niet maar wel uitzonderlijk lekker.,['FOOD'],['positive']
"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",['FOOD'],['positive']
De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,['DRINKS'],['positive']
Het was lang geleden dat we zo lekker geëten hebben.,['FOOD'],['positive']
Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.,"['AMBIENCE', 'FOOD']","['positive', 'positive']"
Het is een fantastische gelegenheid.,['RESTAURANT'],['positive']
Op het landgoed Altembrouck werkt men met verse eerlijke producten.,['FOOD'],['positive']
Er is geen menukaart.,['FOOD'],['negative']
"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is.",['RESTAURANT'],['positive']
Nadeel is dat er geen menukaart is zelfs geen dagelijkse.,['FOOD'],['negative']
Het personeel is zeer vriendelijk en correct zonder stijf te zijn.,['SERVICE'],['positive']
"Verder is, en zeer flexibel 3 pers wilde graag (met bijbetaling) gaan voor het voorgerecht van het paasmenu.",['SERVICE'],['positive']
Voor rest niets als lof.,['RESTAURANT'],['positive']
Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,"['FOOD', 'AMBIENCE']","['positive', 'positive']"
Ik kan dit alleen maar aanraden.,['RESTAURANT'],['positive']
"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,","['LOCATION', 'SERVICE', 'FOOD']","['positive', 'positive', 'negative']"
"Het idee om deze mooi avond af te sluiten met een etentje op het terras van ""'t Groot Café"" was een echte afknapper van je welste.",['RESTAURANT'],['negative']
De ober was juist ontslagen dacht ik.,['SERVICE'],['negative']
Zo onvriendelijk op het boertig af.,['SERVICE'],['negative']
Blijkbaar werkt hij er nog.sympathieker is hij er zeker niet op geworden.,['SERVICE'],['negative']
Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.,"['SERVICE', 'FOOD']","['negative', 'neutral']"
Zo lang die ober daar blijft werken mij niet meer gezien.,['SERVICE'],['negative']
Wat een vreselijke ervaring.,['RESTAURANT'],['negative']
De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.,['SERVICE'],['negative']
"Toen we zegden: ja, als het te moeilijk is om ons te bedienen, we konden onze zin niet afmaken maar werden toegeschreeuwd door de oor de ober die zich dan omdraaide en weg ging.",['SERVICE'],['negative']
De andere klanten zegden luidop dat het schandalig en ongelooflijk was dat men een groep van 9 mensen zo duidelijk buiten joeg!,['SERVICE'],['negative']
"Als deze zaak het hoofd niet boven water kan houden, ligt het niet aan de crisis!",['RESTAURANT'],['negative']
"Eigenaar, leer uw personeel manieren.",['SERVICE'],['negative']
We komen hier vaker eten: degelijke brasserie zonder meer.,['RESTAURANT'],['neutral']
Alles is ok maar je krijgt nooit een echt 'wow-gevoel'.,['RESTAURANT'],['neutral']
Kort gezegd: je zal nooit teleurgesteld zijn maar je zal eveneens nooit in de 'wolken' zijn.,['RESTAURANT'],['neutral']
"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning.","['SERVICE', 'FOOD']","['neutral', 'positive']"
"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",['FOOD'],['neutral']
"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur.....",['DRINKS'],['positive']
Dit is dus een leuk adresje voor gezellige babbel en eenvoudige maar toch lekkere tapàs,"['RESTAURANT', 'FOOD']","['neutral', 'positive']"
Bediening vriendelijk maar gehaast....,['SERVICE'],['neutral']
Zuiderse sfeer...,['AMBIENCE'],['neutral']
Gezellig en lekker.,"['AMBIENCE', 'FOOD']","['positive', 'positive']"
Geweldig concept voor een geweldige avond in Spaanse decor!!,['RESTAURANT'],['positive']
Komen zeker terug,['RESTAURANT'],['positive']
Prachtige wijnen en heel gezellig ambiente.,"['DRINKS', 'AMBIENCE']","['positive', 'positive']"
Authentieke recepten (als spanje kenners kunnen we dat bevestigen) en alles huisgemaakt (dat proef je!).,['FOOD'],['neutral']
Een aanrader voor een avond uit!,['RESTAURANT'],['positive']
"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed.","['DRINKS', 'RESTAURANT', 'FOOD']","['positive', 'positive', 'positive']"
"komen steeds terug om een gezellige avond door te brengen met hapje en drankje, de bediening zou soms sneller kunnen, maar bekijk dit als een leuke en ontspannen middag of avond zonder stress","['RESTAURANT', 'SERVICE']","['negative', 'positive']"
Ook in de periferie zijn er juweeltjes zoals Klein Constantia.,['RESTAURANT'],['positive']
"Hoewel eerder gericht op een modaal publiek dat graag een biefstuk eet, presenteert dit restaurant met de regelmaat van de klok smaakparadijzen van schotels voor gastronomen.",['FOOD'],['positive']
Gewoonweg het beste restaurant in de buurt!,['RESTAURANT'],['positive']
Passie voor eten en bijpassende drank in een gezellig kader.,"['AMBIENCE', 'FOOD']","['positive', 'positive']"
Anders dan anders maar oh zo lekker!!!!,['FOOD'],['positive']
Vroegere bezoeken aan KC waren altijd een culinair hoogtepunt.,['RESTAURANT'],['negative']
De swung is er blijkbaar uit.,['RESTAURANT'],['negative']
"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord.",['FOOD'],['negative']
Een simpele sla als bijgerecht is niet meteen mijn motivatie om op restaurant te gaan.,['FOOD'],['negative']
Amuses die vroeger een leuke entree waren zijn nu beperkt tot een pompoensoepje.,['FOOD'],['negative']
"Maar zelfs met deze beperkte kaart (4 hoofdgerechten, 4 voorgerechten en 2 desserts) waren er toch 2 gerechten niet beschikbaar!",['FOOD'],['negative']
"Maar zeer vervelend, dit werd bij de presentatie van de menukaart vooraf niet gemeld.",['SERVICE'],['negative']
Zelfs werd dit bij het hoofdgerecht pas gemeld op het moment dat het moest geserveerd worden!,['SERVICE'],['negative']
Hier is de kaart kies maar iets anders.,['SERVICE'],['negative']
"Neen, dit zijn 3 stappen achteruit tegenover vroegere bezoeken.",['RESTAURANT'],['negative']
"Als het de keuze is van de eigenaar om te gaan voor een brasserie is dat zijn keuze, maar zoals nu op 2 paarden wedden, dat lukt gewoonweg niet.",['RESTAURANT'],['negative']
Zeer jammer.,['RESTAURANT'],['negative']
Positief blijft wel dat de kwaliteit van de producten ok is en de ruime keuze uit de Zuid-Afrikaanse wijnen.,"['DRINKS', 'FOOD']","['neutral', 'positive']"
"Tip top in orde met een glaasje cava met wachtbordje, voorgerecht, hoofdgerecht en dessert of irish koffie.",['RESTAURANT'],['positive']
Water en 2 glazen wijn inclusief voor 32€.,['RESTAURANT'],['neutral']
Zeer vriendelijke en vlotte bediening.,['SERVICE'],['positive']
Een aanrader!,['RESTAURANT'],['positive']
Nu is het nog geen brasseriebeoordeling waard.,['RESTAURANT'],['negative']
Met gezin (6 personen) gaan eten en viel echt tegen.,['RESTAURANT'],['negative']
"Lekker broodje met vol-au-vent Aan 8,5€!",['FOOD'],['positive']
Duur.,['FOOD'],['negative']
Bediening was niet vriendelijk.,['SERVICE'],['negative']
Sfeer was ok maar niet zo aangenaam,['AMBIENCE'],['negative']
"The Village, een echte aanrader!",['RESTAURANT'],['positive']
"Gezellige sfeer, vriendelijke bediening en het eten is TOP!","['SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive']"
"Romantiek of gezelligheid, even genieten,...alaise!!",['AMBIENCE'],['positive']
Keep up the good work!,['RESTAURANT'],['positive']
"Maar moet eerlijk zeggen, het was en blijft hier top om te eten.",['RESTAURANT'],['positive']
"Mooie aankleding van de zaak, super vriendelijke bediening en voor ieder wat wils op de kaart.","['SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive']"
"Wat ik zelf leuk vind om te doen hier is de Tapas schotel, maar ook hun village gras met bijhorende saus, hun mosselen en de legendarische Pelt stoofvlees is super lekker.",['FOOD'],['positive']
"Ook de gezelligheid om van in de sofa te zitten of aan de toog te hangen en van een lekkere Cocktail te genieten, het is hier allemaal.","['DRINKS', 'AMBIENCE']","['positive', 'positive']"
"Tanja, je bent goed bezig!!!!!",['RESTAURANT'],['positive']
We wilden met vier personen reserveren voor een hapje te eten bij voorheen de zuiderparel (telefoon deed het meerdere malen niet)!!!!,['SERVICE'],['negative']
Of ze namen gewoon niet op.,['SERVICE'],['negative']
En ja er was zeker plaats (3 uur met vier personen in de zaak gezeten) we werden wel zeer goed ontvangen de garcon van dienst was dan ook het enige aansprakelijke in de zaak!,['SERVICE'],['positive']
De zaak is mooi maar koel omdat er geen volk te vertoeven was: het eten gewoon SCHANDALIG!!!!,"['AMBIENCE', 'FOOD']","['negative', 'neutral']"
Sla van de aldi de kwaliteit was slecht en de dressing was al precies maand over datum!,['FOOD'],['negative']
De huisbereide garnaal kroketten kwamen van de makro!!!!,['FOOD'],['negative']
Stond een vrouwelijk personeelslid gewoon te roken in de zaak dit is allemaal jammer en voor ons Wker niet voor herhaling vatbaar.,"['RESTAURANT', 'SERVICE']","['negative', 'negative']"
maar wel een aanrader mocht je op je privacy gesteld zijn!!!!,['RESTAURANT'],['negative']
zowel het concept als het Interieur is orgineel.,"['RESTAURANT', 'AMBIENCE']","['positive', 'positive']"
Daarom kleine kaart met enkel super verse bordjes.,['FOOD'],['positive']
De wijnkeuze is fantastisch en prijs kwaliteit is zeer correct.,"['DRINKS', 'RESTAURANT']","['positive', 'positive']"
"Leuke sfeer, gemoedelijke ontvangst, de beste steak tartare die we ooit hebben gegeten (de gebakken moet je ook zeker eens proberen!), wijn aangepast aan je eigen smaak,...","['DRINKS', 'SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'neutral', 'positive', 'positive']"
Kortom een absolute AANRADER!!,['RESTAURANT'],['positive']
Geweldig restaurant buiten het echte centrum van Antwerpen.,['RESTAURANT'],['positive']
